"time"	"Av"	"Aa"	"Ai"	"Aw"	"Rv"	"Rm"	"Rw"	"x"	"nv"	"yv"	"na"	"ya"	"ni"	"yi"
"1"	0	99	1	0	0	10	0	0	10	50	50	50	0.5	5	0.5
"2"	1	98.3057995577203	1.63507522822941	0.0578249753087305	0.0013002387415494	9.94152886740869	0.0584432914729503	2.78411183608968e-05	69.249609614073	67.0624072466654	18.9311801491444	67.0624072466654	16.6110720299041	6.70624072466654	1.81933715995165
"3"	2	97.4136590241645	2.45094643537745	0.132085857882738	0.00330868257521013	9.86627828722872	0.133599342933057	0.0001223698382153	454.638198748077	86.0979942778369	15.7106480003471	86.0979942778369	23.6409722865577	8.60979942778369	2.4056750645041
"4"	3	96.1915626739342	3.568447496129	0.23376754551142	0.00622228442529242	9.76300300052515	0.236693317352922	0.000303682121925968	2359.29201151967	137.257548754662	78.0696724441602	137.257548754662	26.0924294037371	13.7257548754662	2.61592722507757
"5"	4	92.7539617013077	6.71525349257625	0.51993140938475	0.0108533967311568	9.47133967240555	0.528014552540195	0.000645775054257067	5429.66144949548	729.119780830159	309.889260318875	729.119780830159	23.4337590872071	72.9119780830158	2.34341446574327
"6"	5	67.1559527971091	30.1652475537513	2.6518395522326	0.0269600969068746	7.23659541950262	2.76139161173473	0.00201296876264398	1137.63957466741	4992.76593466393	70.4622267752403	4992.76593466393	18.8414214155267	499.276593466393	1.88414214155267
"7"	6	32.7405337132472	61.6678368691689	5.51580171864681	0.0758276989370584	3.97663036094331	6.0168758267838	0.00649381227286811	19.0031403814682	6635.15206866358	1.17965146511932	6635.15206866358	22.6909831859795	663.515206866359	2.26909831859796
"8"	7	13.8358882199248	78.9308594395017	7.08525772696075	0.147994613612806	1.93946759434916	8.04691190216873	0.0136205034820872	0.106630813610153	7752.0491140396	0.0066370282016519	7752.0491140396	23.3218409450411	775.20491140396	2.33218409450411
"9"	8	5.06558637756409	86.8954630066042	7.80940282652429	0.229547789307467	0.838688037216119	9.13903640977798	0.0222755530058718	0.000180900844948111	9042.87317884336	1.12865363175189e-05	9042.87317884336	22.9444669953245	904.287317884464	2.29444669953279
"10"	9	1.57936770453067	90.0148715302273	8.09307555922305	0.312685206018977	0.316190384707711	9.65210303622446	0.0317065790677997	2.00536102085591e-07	10491.1566312497	1.22308106611985e-08	10491.1566312698	22.1300710807253	1049.11566312369	2.21300710806557
"11"	10	0.418178446040241	91.0048820598472	8.18316656600852	0.393772928103997	0.102434656529705	9.85608744910586	0.0414778943644068	-2.52571243753142e-08	12070.6617178504	-1.09822313021228e-09	12070.661717872	21.0783578309927	1207.06617178314	2.10783578309243
"12"	11	0.0999702411247416	91.2252673443272	8.2032915514133	0.471470863134763	0.0281861810622618	9.92044067377455	0.0513731451631651	4.65658627415824e-09	13751.2139535187	2.08598018979824e-08	13751.2139535424	19.8941839847277	1375.1213953494	1.98941839851025
