"time"	"n"	"x"	"y"
"1"	0	1	0	0
"2"	0.1	0.905415718606965	0.0181001201768725	0.0764841612161621
"3"	0.2	0.82094704031259	0.0327770610020822	0.146275898685328
"4"	0.3	0.745579913885683	0.0445395338704835	0.209880552243834
"5"	0.4	0.678378486847605	0.0538292651092411	0.267792248043154
"6"	0.5	0.61848557854014	0.0610279451327597	0.3204864763271
"7"	0.6	0.565119445658604	0.0664657182398598	0.368414836101536
"8"	0.7	0.517570550462337	0.0704276946671016	0.412001754870561
"9"	0.8	0.475198920867052	0.0731586307974377	0.45164244833551
"10"	0.9	0.437429032093792	0.0748685437140201	0.487702424192188
"11"	1	0.403745143239891	0.0757372188331517	0.520517637926957
"12"	1.1	0.373686702243855	0.0759179312942332	0.550395366461912
"13"	1.2	0.346843390514649	0.0755410755924752	0.577615533892876
"14"	1.3	0.322850420244218	0.0747173094550012	0.602432270300781
"15"	1.4	0.301384138596555	0.073540216969412	0.625075644434033
"16"	1.5	0.282157822924321	0.0720886812488627	0.645753495826817
"17"	1.6	0.264917790847615	0.0704289477663636	0.664653261386022
"18"	1.7	0.249439821852196	0.0686164195830908	0.681943758564713
"19"	1.8	0.23552588610329	0.066697218508412	0.697776895388298
"20"	1.9	0.223001180886419	0.0647095374449983	0.712289281668583
"21"	2	0.211711458546667	0.0626848106879367	0.725603730765396
"22"	2.1	0.201520629453547	0.0606487247307637	0.737830645815689
"23"	2.2	0.192308620965335	0.0586220897084602	0.749069289326204
"24"	2.3	0.183969471716597	0.056621589499129	0.759408938784274
"25"	2.4	0.176409640665303	0.054660426278618	0.768929933056079
"26"	2.5	0.169546510643621	0.0527488734661208	0.777704615890258
"27"	2.6	0.163307067008851	0.0508947492947454	0.785798183696403
"28"	2.7	0.157626733143222	0.0491038217119327	0.793269445144845
"29"	2.8	0.152448345837997	0.0473801539644492	0.800171500197554
"30"	2.9	0.147721254974734	0.0457263990218546	0.806552346003412
"31"	3	0.143400533304901	0.0441440499331033	0.812455416761996
"32"	3.1	0.13944628348641	0.0426336522789848	0.817920064234605
"33"	3.2	0.13582303083417	0.041194984064799	0.822981985101031
"34"	3.3	0.132499191461449	0.0398272076813516	0.827673600857199
"35"	3.4	0.129446606619584	0.0385289979365454	0.832024395443871
"36"	3.5	0.126640135080685	0.0372986496141973	0.836061215305118
"37"	3.6	0.124057296350972	0.036134167541827	0.839808536107201
"38"	3.7	0.121677958353653	0.0350333417365207	0.843288699909826
"39"	3.8	0.119484063984226	0.0339938098399478	0.846522126175826
"40"	3.9	0.117459391623231	0.0330131087433963	0.849527499633373
"41"	4	0.115589345297995	0.0320887170352371	0.852321937666768
"42"	4.1	0.113860770722236	0.0312180896711878	0.854921139606576
"43"	4.2	0.112261793916886	0.030398686067394	0.85733952001572
"44"	4.3	0.110781679525852	0.0296279926446362	0.859590327829512
"45"	4.4	0.109410706123449	0.0289035407011742	0.861685753175377
"46"	4.5	0.108140056079887	0.028222920493778	0.863637023426335
"47"	4.6	0.106961722199699	0.0275837914563108	0.86545448634399
"48"	4.7	0.105868420294978	0.0269838905344054	0.867147689170616
"49"	4.8	0.104853513570122	0.0264210379145713	0.868725448515306
"50"	4.9	0.103910947440734	0.0258931405996695	0.870195911959596
"51"	5	0.103035190847794	0.0253981946800696	0.871566614472136
"52"	5.1	0.102221184298978	0.0249342863161902	0.872844529384832
"53"	5.2	0.101464293809781	0.0244995916828475	0.874036114507372
"54"	5.3	0.100760269951845	0.0240923760994439	0.875147353948711
"55"	5.4	0.100105211407741	0.0237109925067275	0.876183796085532
"56"	5.5	0.0994955324812975	0.023353879433674	0.877150588085029
"57"	5.6	0.0989279340854238	0.023019558574016	0.87805250734056
"58"	5.7	0.0983993777926817	0.0227066320714097	0.878893990135909
"59"	5.8	0.0979070625860841	0.0224137795957187	0.879679157818197
"60"	5.9	0.097448403993826	0.0221397552785664	0.880411840727608
"61"	6	0.0970210153317284	0.0218833845641824	0.881095600104089
"62"	6.1	0.0966226908119162	0.0216435610213349	0.881733748166749
"63"	6.2	0.0962513903064495	0.0214192431534836	0.882329366540067
"64"	6.3	0.0959052255808662	0.0212094512369915	0.882885323182142
"65"	6.4	0.0955824478353969	0.0210132642110989	0.883404287953504
"66"	6.5	0.0952814364114452	0.020829816638216	0.883888746950339
"67"	6.6	0.0950006885381821	0.0206582957487841	0.884341015713034
"68"	6.7	0.0947388100091258	0.0204979385813656	0.884763251409509
"69"	6.8	0.0944945066916701	0.0203480292256446	0.885157464082685
"70"	6.9	0.0942665767839323	0.0202078961735505	0.885525527042517
"71"	7	0.0940539037432565	0.0200769097816942	0.885869186475049
"72"	7.1	0.0938554498194022	0.0199544798466458	0.886190070333952
"73"	7.2	0.0936702501330582	0.0198400532932385	0.886489696573704
"74"	7.3	0.0934974072469738	0.0197331119750035	0.886769480778023
"75"	7.4	0.0933360861828379	0.0196331705849769	0.887030743232185
"76"	7.5	0.093185509842148	0.0195397746744497	0.887274715483403
"77"	7.6	0.0930449547938096	0.019452498776709	0.887502546429482
"78"	7.7	0.09291374739516	0.0193709446324317	0.887715307972408
"79"	7.8	0.0927912602165886	0.0192947395131094	0.887914000270302
"80"	7.9	0.0926769087430044	0.0192235346386903	0.888099556618306
"81"	8	0.0925701483281061	0.0191570036855044	0.88827284798639
"82"	8.1	0.0924704713798194	0.01909484138048	0.888434687239701
"83"	8.2	0.092377404757386	0.019036762177646	0.888585833064968
"84"	8.3	0.0922905073624829	0.018982499012946	0.888726993624571
"85"	8.4	0.0922093679084256	0.0189318021334471	0.888858829958127
